gene_id	gene_name	SRR2219873	SRR2219887	SRR2219889	SRR2219891	SRR2219895	SRR2219907
ENSG00000160111.15	CPAMD8	5	14	10.001	67.001	14	9
ENSG00000160113.6	NR2F6	100	121	75	168	142	426
ENSG00000160117.16	ANKLE1	0	8	8	23	7	17.352
ENSG00000160124.9	MIX23	35	89.772	29.966	244.866	144.819	97.659
ENSG00000160131.14	VMA21	198	217	186	212	591	406
ENSG00000160145.16	KALRN	62.001	20.001	30.999	19	49.001	66
ENSG00000160161.9	CILP2	3	8	63	4	31	7
ENSG00000160172.11	FAM86C2P	0	0	0	0	0	0
ENSG00000160179.20	ABCG1	354	269.999	914	173	319	371
ENSG00000160180.17	TFF3	1	12	2	3	2	14
ENSG00000160181.9	TFF2	0	0	0	0	0	0
ENSG00000160182.3	TFF1	0	0	0	1	0	1
ENSG00000160183.17	TMPRSS3	2	78	6	4	1	9
ENSG00000160185.15	UBASH3A	4	90	33.999	66	7	11
ENSG00000160188.10	RSPH1	0	12	1	6	2	7
ENSG00000160190.14	SLC37A1	31	134	85	112	23	209
ENSG00000160191.18	PDE9A	13	40	25	117	2	28.999
ENSG00000160193.12	WDR4	59	42	66	33	164.999	69.001
ENSG00000160194.18	NDUFV3	123	158	112	126	160	241
ENSG00000160199.15	PKNOX1	104.999	108	88	113.001	185	169.001
ENSG00000160200.18	CBS	47	273.403	71	351.603	168.012	152
ENSG00000160201.12	U2AF1	564	550.999	282.251	839.001	897	423.266
ENSG00000160202.8	CRYAA	0	1	0	0	0	0
ENSG00000160207.9	HSF2BP	16	4	7	6.09	22	11.833
ENSG00000160208.13	RRP1B	416	265	145	204	718	475
ENSG00000160209.19	PDXK	352	684.999	499.999	406.138	778.721	951.402
ENSG00000160211.20	G6PD	213.999	155	284.001	172.001	554.999	372
ENSG00000160213.10	CSTB	4836	1524.999	3093	2442.999	5115	3347.999
ENSG00000160214.13	RRP1	211	159	114.813	180.864	332.999	300
ENSG00000160216.21	AGPAT3	118.001	383	327.999	256	324	764
ENSG00000160218.13	TRAPPC10	251.276	400.603	314.921	190.043	506.03	437.247
ENSG00000160219.12	GAB3	6	188	131	104	36	10
ENSG00000160221.18	GATD3	13.028	125.35	203.886	149.854	18.581	190.13
ENSG00000160223.18	ICOSLG	18.111	110.669	141.104	95.4	93.614	333.166
ENSG00000160224.17	AIRE	2	0	14	15	0	2
